state, action, reward
0.84;0.0357;0.5;0.4643;0.002;0.028;0.026,120;110;40,0.936
0.888;0.0145;0.4783;0.5072;0.0007;0.022;0.0233,105;50;90,0.96
0.516;0.0;0.5362;0.4638;0.0;0.0247;0.0213,60;80;55,0.864
1.128;0.0204;0.5102;0.4694;0.0013;0.0333;0.0307,100;55;115,1.02
0.852;0.0543;0.4565;0.4891;0.0033;0.028;0.03,40;105;90,0.768
1.104;0.1;0.49;0.41;0.0067;0.0327;0.0273,100;110;50,0.852
0.732;0.0;0.52;0.48;0.0;0.026;0.024,105;50;50,0.936
1.14;0.0545;0.4636;0.4818;0.004;0.034;0.0353,85;100;60,0.984
1.068;0.0115;0.4943;0.4943;0.0007;0.0287;0.0287,90;90;75,0.876
0.516;0.0147;0.4853;0.5;0.0007;0.022;0.0227,120;45;80,0.888
1.056;0.0;0.5114;0.4886;0.0;0.03;0.0287,65;100;60,1.032
0.588;0.0;0.48;0.52;0.0;0.024;0.026,80;70;75,0.864
1.02;0.043;0.4839;0.4731;0.0027;0.03;0.0293,80;110;105,0.924
0.912;0.0;0.4875;0.5125;0.0;0.026;0.0273,75;65;30,0.948
0.696;0.0241;0.494;0.4819;0.0013;0.0273;0.0267,35;90;35,0.84
0.612;0.0494;0.4815;0.4691;0.0027;0.026;0.0253,110;45;75,0.852
1.128;0.0938;0.4167;0.4896;0.006;0.0267;0.0313,105;55;80,0.9
1.08;0.0337;0.5056;0.4607;0.002;0.03;0.0273,110;75;80,0.924
0.828;0.03;0.49;0.48;0.002;0.0327;0.032,75;85;35,0.792
0.42;0.0349;0.4884;0.4767;0.002;0.028;0.0273,70;85;95,0.816
1.008;0.0435;0.4783;0.4783;0.0027;0.0293;0.0293,115;110;95,0.804
0.672;0.0476;0.5119;0.4405;0.0027;0.0287;0.0247,105;65;65,0.744
1.08;0.0928;0.4845;0.4227;0.006;0.0313;0.0273,90;100;70,0.9
0.66;0.025;0.4875;0.4875;0.0013;0.026;0.026,40;55;55,0.816
0.948;0.0123;0.5062;0.4815;0.0007;0.0273;0.026,115;75;70,1.032
0.948;0.012;0.494;0.494;0.0007;0.0273;0.0273,35;35;55,0.948
0.852;0.046;0.4713;0.4828;0.0027;0.0273;0.028,120;45;75,0.996
0.3;0.0;0.5072;0.4928;0.0;0.0233;0.0227,110;35;80,0.828
1.092;0.04;0.49;0.47;0.0027;0.0327;0.0313,110;40;85,0.948
1.044;0.0213;0.5213;0.4574;0.0013;0.0327;0.0287,80;85;40,0.936
0.78;0.0211;0.4737;0.5053;0.0013;0.03;0.032,95;100;100,0.9
0.972;0.0;0.5;0.5;0.0;0.03;0.03,55;35;55,0.888
0.9;0.0357;0.5119;0.4524;0.002;0.0287;0.0253,70;35;35,0.96
1.02;0.0465;0.4884;0.4651;0.0027;0.028;0.0267,120;60;100,0.912
0.876;0.0222;0.4778;0.5;0.0013;0.0287;0.03,30;65;75,0.852
1.128;0.0625;0.4792;0.4583;0.004;0.0307;0.0293,55;110;120,0.852
0.984;0.023;0.5057;0.4713;0.0013;0.0293;0.0273,85;95;70,0.828
1.02;0.0;0.4819;0.5181;0.0;0.0267;0.0287,30;80;70,0.912
1.008;0.0361;0.494;0.4699;0.002;0.0273;0.026,30;70;70,0.888
0.948;0.0602;0.5301;0.4096;0.0033;0.0293;0.0227,95;100;120,0.972
0.888;0.0;0.5172;0.4828;0.0;0.03;0.028,120;30;45,0.984
1.08;0.0102;0.4796;0.5102;0.0007;0.0313;0.0333,65;95;100,0.9
1.008;0.1304;0.4783;0.3913;0.008;0.0293;0.024,75;45;80,0.852
1.092;0.0412;0.4845;0.4742;0.0027;0.0313;0.0307,105;70;55,0.972
1.032;0.0375;0.5125;0.45;0.002;0.0273;0.024,65;45;35,1.008
0.912;0.0617;0.4815;0.4568;0.0033;0.026;0.0247,55;50;30,0.852
1.044;0.0241;0.506;0.4699;0.0013;0.028;0.026,45;90;55,0.936
0.78;0.0125;0.5375;0.45;0.0007;0.0287;0.024,110;85;65,0.924
0.948;0.0426;0.5213;0.4362;0.0027;0.0327;0.0273,85;95;120,0.996
1.056;0.0568;0.4773;0.4659;0.0033;0.028;0.0273,120;85;80,0.876
0.792;0.037;0.5062;0.4568;0.002;0.0273;0.0247,80;60;35,0.936
1.104;0.0784;0.5098;0.4118;0.0053;0.0347;0.028,100;85;55,0.96
0.936;0.0865;0.4423;0.4712;0.006;0.0307;0.0327,30;90;110,0.768
1.092;0.0795;0.4773;0.4432;0.0047;0.028;0.026,110;65;100,0.924
0.876;0.0471;0.4706;0.4824;0.0027;0.0267;0.0273,50;85;80,0.696
1.092;0.0753;0.5161;0.4086;0.0047;0.032;0.0253,55;105;55,0.9
0.54;0.0135;0.5135;0.473;0.0007;0.0253;0.0233,55;120;65,0.852
0.936;0.0506;0.5063;0.443;0.0027;0.0267;0.0233,90;35;75,0.864
0.948;0.0115;0.5402;0.4483;0.0007;0.0313;0.026,60;40;35,0.936
0.348;0.0135;0.4459;0.5405;0.0007;0.022;0.0267,90;105;45,0.9
1.092;0.0583;0.5146;0.4272;0.004;0.0353;0.0293,90;70;50,0.96
1.14;0.0146;0.4964;0.4891;0.0013;0.0453;0.0447,55;40;120,0.792
0.972;0.1095;0.4526;0.438;0.01;0.0413;0.04,30;95;50,0.756
1.032;0.012;0.5181;0.4699;0.0007;0.0287;0.026,100;85;45,0.876
0.948;0.0105;0.5789;0.4105;0.0007;0.0367;0.026,120;60;105,0.936
0.948;0.027;0.5;0.473;0.0013;0.0247;0.0233,95;90;80,0.84
1.032;0.0123;0.5556;0.4321;0.0007;0.03;0.0233,100;30;45,1.104
0.564;0.0132;0.5263;0.4605;0.0007;0.0267;0.0233,100;35;40,0.852
0.852;0.0123;0.4815;0.5062;0.0007;0.026;0.0273,65;75;100,1.02
1.008;0.0;0.5;0.5;0.0;0.03;0.03,35;65;70,0.972
1.032;0.046;0.5402;0.4138;0.0027;0.0313;0.024,55;90;65,0.876
1.128;0.0099;0.5347;0.4554;0.0007;0.036;0.0307,105;110;95,0.96
0.24;0.0;0.4789;0.5211;0.0;0.0227;0.0247,80;95;60,0.996
0.972;0.0118;0.4471;0.5412;0.0007;0.0253;0.0307,45;45;55,0.96
0.756;0.0;0.5128;0.4872;0.0;0.0267;0.0253,45;55;75,0.852
0.732;0.0119;0.4762;0.5119;0.0007;0.0267;0.0287,90;30;85,0.792
0.636;0.0;0.5;0.5;0.0;0.0227;0.0227,30;65;120,0.792
1.104;0.0495;0.4554;0.495;0.0033;0.0307;0.0333,105;75;60,0.984
0.948;0.0189;0.4717;0.5094;0.0013;0.0333;0.036,55;45;40,0.924
0.636;0.0517;0.4828;0.4655;0.004;0.0373;0.036,115;120;35,0.744
1.056;0.0;0.5465;0.4535;0.0;0.0313;0.026,105;70;50,0.9
0.72;0.0423;0.4507;0.507;0.002;0.0213;0.024,55;100;115,0.912
0.996;0.1176;0.4804;0.402;0.008;0.0327;0.0273,95;35;35,0.768
1.008;0.0093;0.4907;0.5;0.0007;0.0353;0.036,35;85;55,0.816
0.72;0.0274;0.5068;0.4658;0.0013;0.0247;0.0227,55;120;40,0.876
1.02;0.0588;0.4804;0.4608;0.004;0.0327;0.0313,100;100;110,0.96
1.092;0.0;0.4828;0.5172;0.0;0.028;0.03,110;80;105,0.864
0.732;0.0132;0.5;0.4868;0.0007;0.0253;0.0247,45;105;115,0.996
1.164;0.0708;0.4336;0.4956;0.0053;0.0327;0.0373,120;40;120,1.02
1.008;0.038;0.4304;0.5316;0.002;0.0227;0.028,35;110;45,0.924
1.008;0.0805;0.5287;0.3908;0.0047;0.0307;0.0227,60;65;110,0.888
0.672;0.0303;0.5152;0.4545;0.002;0.034;0.03,80;85;75,0.876
1.08;0.069;0.5057;0.4253;0.004;0.0293;0.0247,115;85;60,0.864
0.876;0.0256;0.4744;0.5;0.0013;0.0247;0.026,65;70;55,1.008
1.092;0.0505;0.4747;0.4747;0.0033;0.0313;0.0313,80;115;35,0.912
0.972;0.038;0.519;0.443;0.002;0.0273;0.0233,50;120;35,0.9
0.888;0.022;0.5165;0.4615;0.0013;0.0313;0.028,65;110;30,0.876
0.672;0.0241;0.506;0.4699;0.0013;0.028;0.026,100;85;55,0.912
1.008;0.0238;0.5;0.4762;0.0013;0.028;0.0267,55;55;50,0.912
1.056;0.0268;0.4821;0.4911;0.002;0.036;0.0367,65;100;50,0.828
0.264;0.0135;0.5;0.4865;0.0007;0.0247;0.024,85;50;100,0.84
0.78;0.0128;0.4615;0.5256;0.0007;0.024;0.0273,95;65;120,0.936
0.672;0.0;0.5;0.5;0.0;0.024;0.024,70;75;85,1.032
0.768;0.012;0.4699;0.5181;0.0007;0.026;0.0287,90;90;95,0.912
0.492;0.0;0.5181;0.4819;0.0;0.0287;0.0267,30;50;75,0.864
1.116;0.0247;0.4938;0.4815;0.0013;0.0267;0.026,30;110;115,0.876
0.996;0.0;0.5208;0.4792;0.0;0.0333;0.0307,110;40;35,0.912
1.08;0.0455;0.5227;0.4318;0.0027;0.0307;0.0253,80;120;55,0.996
0.9;0.061;0.4756;0.4634;0.0033;0.026;0.0253,70;120;30,0.876
1.032;0.0111;0.5222;0.4667;0.0007;0.0313;0.028,95;45;40,0.948
1.008;0.0488;0.5;0.4512;0.0027;0.0273;0.0247,90;105;110,0.924
0.636;0.0282;0.4507;0.5211;0.0013;0.0213;0.0247,85;60;45,0.888
0.972;0.0;0.5244;0.4756;0.0;0.0287;0.026,70;115;75,0.996
1.008;0.0208;0.4896;0.4896;0.0013;0.0313;0.0313,100;95;50,0.996
0.732;0.027;0.5;0.473;0.0013;0.0247;0.0233,60;30;30,0.888
0.696;0.0137;0.4795;0.5068;0.0007;0.0233;0.0247,90;80;80,0.792
0.9;0.0133;0.4933;0.4933;0.0007;0.0247;0.0247,30;30;100,0.984
0.624;0.012;0.5301;0.4578;0.0007;0.0293;0.0253,70;110;105,0.924
0.888;0.0319;0.5426;0.4255;0.002;0.034;0.0267,85;70;105,0.948
0.984;0.0233;0.5233;0.4535;0.0013;0.03;0.026,35;70;90,0.888
1.08;0.0496;0.5289;0.4215;0.004;0.0427;0.034,90;75;65,0.804
0.492;0.0385;0.5;0.4615;0.002;0.026;0.024,85;120;90,0.78
0.948;0.025;0.525;0.45;0.0013;0.028;0.024,35;110;45,0.924
0.684;0.0;0.5;0.5;0.0;0.0233;0.0233,45;70;115,0.876
1.152;0.0;0.5321;0.4679;0.0;0.0387;0.034,75;60;120,0.972
0.36;0.0;0.5077;0.4923;0.0;0.022;0.0213,45;55;50,0.948
0.888;0.04;0.5333;0.4267;0.002;0.0267;0.0213,35;60;105,0.792
1.104;0.0426;0.4574;0.5;0.0027;0.0287;0.0313,70;115;100,0.864
1.008;0.075;0.5083;0.4167;0.006;0.0407;0.0333,70;95;95,0.792
0.96;0.0395;0.5;0.4605;0.002;0.0253;0.0233,70;40;100,0.816
1.008;0.0353;0.4941;0.4706;0.002;0.028;0.0267,50;30;95,0.96
0.384;0.0;0.5211;0.4789;0.0;0.0247;0.0227,115;30;100,0.924
0.9;0.0;0.5422;0.4578;0.0;0.03;0.0253,115;85;105,0.948
0.432;0.0;0.4722;0.5278;0.0;0.0227;0.0253,55;50;45,0.888
1.02;0.013;0.5065;0.4805;0.0007;0.026;0.0247,30;100;75,0.936
1.056;0.0247;0.4815;0.4938;0.0013;0.026;0.0267,90;65;50,0.9
1.152;0.0894;0.4553;0.4553;0.0073;0.0373;0.0373,120;105;95,0.864
0.876;0.0267;0.5467;0.4267;0.0013;0.0273;0.0213,80;35;30,0.78
0.912;0.0116;0.4884;0.5;0.0007;0.028;0.0287,70;35;80,0.888
0.72;0.0;0.4868;0.5132;0.0;0.0247;0.026,105;55;75,0.9
1.032;0.0109;0.5326;0.4565;0.0007;0.0327;0.028,40;45;80,0.996
0.792;0.0183;0.4495;0.5321;0.0013;0.0327;0.0387,30;70;105,0.72
0.768;0.014;0.4965;0.4895;0.0013;0.0473;0.0467,95;95;80,0.744
0.204;0.0132;0.5132;0.4737;0.0007;0.026;0.024,95;80;45,0.792
1.152;0.0857;0.4667;0.4476;0.006;0.0327;0.0313,85;105;70,0.864
1.044;0.0;0.5;0.5;0.0;0.0293;0.0293,80;80;35,0.876
0.948;0.0259;0.5086;0.4655;0.002;0.0393;0.036,115;80;85,0.768
0.336;0.0133;0.5333;0.4533;0.0007;0.0267;0.0227,90;120;85,0.888
0.996;0.0745;0.5;0.4255;0.0047;0.0313;0.0267,55;40;75,0.888
1.092;0.0645;0.4731;0.4624;0.004;0.0293;0.0287,85;85;115,0.9
0.828;0.0423;0.4648;0.493;0.002;0.022;0.0233,55;120;45,1.044
1.092;0.0336;0.4832;0.4832;0.0033;0.048;0.048,90;100;120,0.636
1.056;0.0707;0.4545;0.4747;0.0093;0.06;0.0627,75;120;70,0.72
0.396;0.0783;0.487;0.4348;0.006;0.0373;0.0333,100;50;65,0.816
1.044;0.0119;0.5119;0.4762;0.0007;0.0287;0.0267,55;90;90,0.864
0.888;0.0123;0.5185;0.4691;0.0007;0.028;0.0253,85;80;85,0.912
1.128;0.043;0.4946;0.4624;0.0027;0.0307;0.0287,80;45;60,1.044
0.888;0.0411;0.4932;0.4658;0.002;0.024;0.0227,80;45;30,0.948
0.912;0.0;0.5233;0.4767;0.0;0.03;0.0273,115;50;70,0.936
0.996;0.0459;0.5138;0.4404;0.0033;0.0373;0.032,85;35;35,0.756
0.624;0.0286;0.4857;0.4857;0.0013;0.0227;0.0227,85;85;40,0.912
0.924;0.0;0.4831;0.5169;0.0;0.0287;0.0307,80;85;95,0.996
1.008;0.0235;0.5059;0.4706;0.0013;0.0287;0.0267,80;80;70,0.876
0.552;0.0;0.4872;0.5128;0.0;0.0253;0.0267,75;55;75,0.924
0.528;0.0139;0.4722;0.5139;0.0007;0.0227;0.0247,120;80;30,0.828
1.08;0.0294;0.549;0.4216;0.002;0.0373;0.0287,45;70;60,0.888
0.288;0.025;0.5;0.475;0.0013;0.0267;0.0253,100;80;40,0.9
1.068;0.0316;0.5263;0.4421;0.002;0.0333;0.028,50;75;115,0.96
0.96;0.037;0.5062;0.4568;0.002;0.0273;0.0247,45;30;115,0.876
1.128;0.069;0.4828;0.4483;0.0053;0.0373;0.0347,65;105;95,0.768
0.768;0.0127;0.4937;0.4937;0.0007;0.026;0.026,75;75;45,0.936
0.936;0.0109;0.4348;0.5543;0.0007;0.0267;0.034,55;110;120,0.948
1.068;0.0138;0.531;0.4552;0.0013;0.0513;0.044,65;85;30,0.78
0.0;0.0533;0.4667;0.48;0.0027;0.0233;0.024,115;55;50,0.9
0.936;0.0357;0.5;0.4643;0.002;0.028;0.026,70;35;110,0.912
0.972;0.1308;0.4486;0.4206;0.0093;0.032;0.03,50;45;65,0.768
1.056;0.0241;0.4819;0.494;0.0013;0.0267;0.0273,105;45;100,0.984
1.056;0.0505;0.5051;0.4444;0.0033;0.0333;0.0293,110;65;110,0.948
1.044;0.0153;0.4733;0.5115;0.0013;0.0413;0.0447,45;80;75,0.732
0.144;0.0133;0.48;0.5067;0.0007;0.024;0.0253,45;85;50,0.792
0.972;0.0235;0.5059;0.4706;0.0013;0.0287;0.0267,60;65;105,0.828
1.056;0.0225;0.4719;0.5056;0.0013;0.028;0.03,60;115;85,0.936
0.672;0.026;0.5065;0.4675;0.0013;0.026;0.024,85;115;60,0.864
1.056;0.069;0.4368;0.4943;0.004;0.0253;0.0287,45;100;95,0.984
1.104;0.0909;0.4773;0.4318;0.0053;0.028;0.0253,90;90;70,0.9
1.176;0.1282;0.4359;0.4359;0.01;0.034;0.034,115;85;120,0.96
1.044;0.0899;0.4494;0.4607;0.0053;0.0267;0.0273,80;45;65,0.828
1.056;0.0404;0.5152;0.4444;0.0027;0.034;0.0293,120;110;120,0.96
0.972;0.0;0.506;0.494;0.0;0.028;0.0273,40;90;30,0.948
1.068;0.0874;0.4854;0.4272;0.006;0.0333;0.0293,105;95;55,0.9
1.068;0.0882;0.4804;0.4314;0.006;0.0327;0.0293,100;100;85,0.816
1.068;0.0606;0.5152;0.4242;0.004;0.034;0.028,95;55;95,0.912
0.456;0.0141;0.4789;0.507;0.0007;0.0227;0.024,80;95;85,0.852
1.092;0.033;0.4615;0.5055;0.002;0.028;0.0307,40;110;105,0.864
1.056;0.0375;0.5;0.4625;0.002;0.0267;0.0247,45;95;85,0.948
1.008;0.025;0.5125;0.4625;0.0013;0.0273;0.0247,45;110;110,0.936
1.116;0.0547;0.5391;0.4062;0.0047;0.046;0.0347,105;100;85,0.792
0.204;0.0;0.4366;0.5634;0.0;0.0207;0.0267,65;115;95,0.78
1.104;0.019;0.5143;0.4667;0.0013;0.036;0.0327,80;105;55,0.972
1.032;0.146;0.4599;0.3942;0.0133;0.042;0.036,100;45;60,0.744
0.996;0.0202;0.5152;0.4646;0.0013;0.034;0.0307,65;105;30,0.96
0.3;0.0;0.5147;0.4853;0.0;0.0233;0.022,70;45;110,0.924
0.936;0.0;0.5287;0.4713;0.0;0.0307;0.0273,35;35;95,0.888
0.888;0.0263;0.4605;0.5132;0.0013;0.0233;0.026,80;100;35,0.876
1.104;0.0439;0.5263;0.4298;0.0033;0.04;0.0327,40;100;75,0.852
0.792;0.0;0.4744;0.5256;0.0;0.0247;0.0273,65;120;105,0.924
0.864;0.0225;0.5281;0.4494;0.0013;0.0313;0.0267,60;100;105,0.972
1.08;0.043;0.5054;0.4516;0.0027;0.0313;0.028,75;75;75,0.936
0.756;0.0132;0.4868;0.5;0.0007;0.0247;0.0253,120;90;60,0.9
0.852;0.0256;0.4744;0.5;0.0013;0.0247;0.026,35;65;100,0.936
0.84;0.0;0.4938;0.5062;0.0;0.0267;0.0273,50;60;100,0.972
1.152;0.0654;0.4486;0.486;0.0047;0.032;0.0347,80;65;110,0.96
0.996;0.0253;0.5696;0.4051;0.0013;0.03;0.0213,35;70;65,0.924
0.816;0.0247;0.5185;0.4568;0.0013;0.028;0.0247,65;70;55,0.96
0.78;0.0253;0.481;0.4937;0.0013;0.0253;0.026,95;60;100,0.96
1.008;0.0333;0.4667;0.5;0.002;0.028;0.03,110;65;85,0.864
0.528;0.0;0.4928;0.5072;0.0;0.0227;0.0233,100;75;50,0.888
1.128;0.0476;0.5143;0.4381;0.0033;0.036;0.0307,65;40;110,0.924
0.504;0.0874;0.4757;0.4369;0.006;0.0327;0.03,100;55;65,0.792
1.02;0.0543;0.4891;0.4565;0.0033;0.03;0.028,115;50;40,1.008
0.624;0.0145;0.4928;0.4928;0.0007;0.0227;0.0227,90;60;75,0.876
1.092;0.0581;0.4767;0.4651;0.0033;0.0273;0.0267,90;60;110,0.9
0.924;0.0435;0.4783;0.4783;0.002;0.022;0.022,115;80;110,0.948
1.008;0.0128;0.4872;0.5;0.0007;0.0253;0.026,100;70;70,0.972
0.936;0.0;0.4886;0.5114;0.0;0.0287;0.03,90;80;35,1.008
1.008;0.0244;0.5122;0.4634;0.0013;0.028;0.0253,105;120;75,0.876
0.96;0.0909;0.4848;0.4242;0.006;0.032;0.028,105;110;40,0.888
1.08;0.0581;0.4767;0.4651;0.0033;0.0273;0.0267,90;90;110,0.924
0.456;0.0;0.5441;0.4559;0.0;0.0247;0.0207,95;90;60,0.9
1.008;0.0112;0.5393;0.4494;0.0007;0.032;0.0267,105;40;110,0.888
0.756;0.0282;0.4789;0.493;0.0013;0.0227;0.0233,95;55;50,0.792
0.84;0.0;0.5824;0.4176;0.0;0.0353;0.0253,60;40;110,0.924
0.84;0.038;0.443;0.519;0.002;0.0233;0.0273,60;40;120,0.984
0.624;0.0;0.5062;0.4938;0.0;0.0273;0.0267,65;75;80,0.816
1.14;0.049;0.5294;0.4216;0.0033;0.036;0.0287,120;120;85,0.912
0.732;0.0641;0.4744;0.4615;0.0033;0.0247;0.024,85;115;50,0.84
1.044;0.0851;0.4894;0.4255;0.0053;0.0307;0.0267,70;75;30,0.852
1.008;0.0122;0.4878;0.5;0.0007;0.0267;0.0273,30;55;120,0.912
0.948;0.038;0.4557;0.5063;0.002;0.024;0.0267,115;105;80,0.888
1.128;0.0965;0.4561;0.4474;0.0073;0.0347;0.034,90;105;80,0.852
0.504;0.0;0.4928;0.5072;0.0;0.0227;0.0233,35;70;115,0.876
0.804;0.0494;0.4938;0.4568;0.0027;0.0267;0.0247,55;115;115,0.9
1.056;0.0568;0.4659;0.4773;0.0033;0.0273;0.028,60;85;50,0.936
1.032;0.0543;0.5326;0.413;0.0033;0.0327;0.0253,105;60;95,0.948
0.996;0.0667;0.5238;0.4095;0.0047;0.0367;0.0287,115;45;70,0.84
1.068;0.0625;0.4875;0.45;0.0033;0.026;0.024,65;90;65,0.888
0.804;0.0128;0.5;0.4872;0.0007;0.026;0.0253,90;80;30,0.876
0.924;0.0122;0.4878;0.5;0.0007;0.0267;0.0273,50;90;85,0.96
1.032;0.0342;0.5128;0.453;0.0027;0.04;0.0353,50;35;105,0.84
0.996;0.1233;0.4863;0.3904;0.012;0.0473;0.038,90;50;115,0.768
0.48;0.0149;0.5075;0.4776;0.0007;0.0227;0.0213,100;105;80,0.888
1.14;0.1053;0.4912;0.4035;0.008;0.0373;0.0307,90;100;75,0.876
0.984;0.0233;0.4884;0.4884;0.0013;0.028;0.028,45;100;35,0.828
1.056;0.0;0.4952;0.5048;0.0;0.0347;0.0353,60;50;80,0.84
1.044;0.0349;0.5465;0.4186;0.002;0.0313;0.024,85;90;60,0.876
1.044;0.0374;0.4299;0.5327;0.0027;0.0307;0.038,70;95;115,0.84
1.068;0.0333;0.4889;0.4778;0.002;0.0293;0.0287,75;85;95,0.948
0.984;0.0137;0.4658;0.5205;0.0007;0.0227;0.0253,100;30;30,0.852
0.816;0.0233;0.5;0.4767;0.0013;0.0287;0.0273,45;85;105,0.9
0.852;0.0;0.469;0.531;0.0;0.0353;0.04,120;60;120,0.756
0.852;0.0299;0.4925;0.4776;0.0027;0.044;0.0427,55;95;105,0.732
0.732;0.0;0.5067;0.4933;0.0;0.0253;0.0247,100;85;95,0.912
1.08;0.0;0.5294;0.4706;0.0;0.03;0.0267,90;50;35,1.152
1.176;0.0625;0.4938;0.4437;0.0067;0.0527;0.0473,110;80;100,0.78
0.096;0.0;0.5;0.5;0.0;0.024;0.024,40;50;70,0.876
0.984;0.0;0.475;0.525;0.0;0.0253;0.028,95;115;60,0.936
1.164;0.0652;0.5109;0.4239;0.004;0.0313;0.026,120;70;115,1.092
0.792;0.0105;0.5368;0.4526;0.0007;0.034;0.0287,110;65;100,0.816
0.996;0.0519;0.4675;0.4805;0.0027;0.024;0.0247,115;75;40,0.924
1.08;0.0;0.5439;0.4561;0.0;0.0413;0.0347,35;95;60,0.78
0.372;0.0;0.5143;0.4857;0.0;0.024;0.0227,75;80;40,0.864
1.044;0.069;0.4253;0.5057;0.004;0.0247;0.0293,55;40;55,0.984
0.672;0.0;0.4815;0.5185;0.0;0.026;0.028,55;115;105,0.864
1.032;0.1078;0.4902;0.402;0.0073;0.0333;0.0273,60;75;85,0.876
0.984;0.044;0.4615;0.4945;0.0027;0.028;0.03,65;55;30,0.876
0.612;0.0128;0.4615;0.5256;0.0007;0.024;0.0273,80;75;105,0.924
1.032;0.0682;0.5;0.4318;0.004;0.0293;0.0253,45;45;60,0.936
0.636;0.0147;0.5147;0.4706;0.0007;0.0233;0.0213,110;55;40,0.756
0.996;0.0233;0.4884;0.4884;0.0013;0.028;0.028,55;100;45,0.924
0.888;0.033;0.4945;0.4725;0.002;0.03;0.0287,95;65;35,0.924
1.068;0.0612;0.4898;0.449;0.004;0.032;0.0293,55;60;100,0.936
0.936;0.05;0.475;0.475;0.0027;0.0253;0.0253,45;50;65,0.924
0.948;0.0118;0.5294;0.4588;0.0007;0.03;0.026,35;105;30,0.888
0.708;0.0505;0.4848;0.4646;0.0033;0.032;0.0307,120;85;40,0.948
1.08;0.0127;0.443;0.5443;0.0007;0.0233;0.0287,110;95;110,0.96
0.564;0.0294;0.5147;0.4559;0.0013;0.0233;0.0207,65;65;65,0.888
0.828;0.0244;0.5244;0.4512;0.0013;0.0287;0.0247,35;75;100,0.912
1.008;0.0465;0.5;0.4535;0.0027;0.0287;0.026,105;100;55,0.972
0.96;0.0361;0.4699;0.494;0.002;0.026;0.0273,65;30;45,0.948
1.068;0.018;0.5225;0.4595;0.0013;0.0387;0.034,120;100;35,0.816
0.756;0.049;0.4706;0.4804;0.0033;0.032;0.0327,35;45;70,0.732
0.984;0.0357;0.5;0.4643;0.002;0.028;0.026,30;115;60,0.888
1.152;0.1081;0.4595;0.4324;0.008;0.034;0.032,90;95;45,0.936
0.492;0.0;0.4937;0.5063;0.0;0.026;0.0267,45;120;30,0.852
1.068;0.0125;0.45;0.5375;0.0007;0.024;0.0287,95;50;70,0.9
1.104;0.0213;0.5426;0.4362;0.0013;0.034;0.0273,85;65;95,0.876
0.756;0.0423;0.4648;0.493;0.002;0.022;0.0233,115;75;115,0.936
1.104;0.0964;0.4819;0.4217;0.0053;0.0267;0.0233,115;115;110,0.984
0.696;0.0278;0.5;0.4722;0.0013;0.024;0.0227,120;95;65,0.9
0.648;0.0139;0.4861;0.5;0.0007;0.0233;0.024,45;65;115,0.96
1.14;0.0102;0.4796;0.5102;0.0007;0.0313;0.0333,55;95;55,0.996
0.744;0.0;0.5114;0.4886;0.0;0.03;0.0287,100;60;105,0.804
1.02;0.0253;0.4937;0.481;0.0013;0.026;0.0253,65;65;65,0.9
0.984;0.0241;0.4699;0.506;0.0013;0.026;0.028,115;80;45,0.9
0.72;0.0;0.4632;0.5368;0.0;0.0293;0.034,75;100;110,0.804
0.972;0.0391;0.5156;0.4453;0.0033;0.044;0.038,50;30;95,0.78
0.768;0.0208;0.4792;0.5;0.0013;0.0307;0.032,120;45;30,0.888
0.996;0.072;0.48;0.448;0.006;0.04;0.0373,90;100;120,0.84
1.056;0.0494;0.4938;0.4568;0.0027;0.0267;0.0247,85;115;105,0.936
1.02;0.033;0.5165;0.4505;0.002;0.0313;0.0273,65;45;30,0.936
1.032;0.0;0.5056;0.4944;0.0;0.03;0.0293,90;105;50,0.924
1.044;0.0619;0.469;0.469;0.0047;0.0353;0.0353,45;30;50,0.792
1.044;0.023;0.5057;0.4713;0.0013;0.0293;0.0273,75;40;60,0.876
0.732;0.0;0.5244;0.4756;0.0;0.0287;0.026,85;90;65,0.876
0.708;0.0;0.5437;0.4563;0.0;0.0373;0.0313,50;105;120,0.804
0.588;0.0077;0.5154;0.4769;0.0007;0.0447;0.0413,50;100;65,0.744
0.528;0.0143;0.4714;0.5143;0.0007;0.022;0.024,100;45;80,0.912
0.876;0.0;0.4894;0.5106;0.0;0.0307;0.032,65;120;90,0.912
0.684;0.0;0.5231;0.4769;0.0;0.0227;0.0207,120;35;100,0.804
1.128;0.0098;0.4706;0.5196;0.0007;0.032;0.0353,120;55;120,0.888
1.056;0.0;0.4651;0.5349;0.0;0.0267;0.0307,80;85;95,0.924
0.972;0.0667;0.4778;0.4556;0.004;0.0287;0.0273,60;30;100,0.816
1.08;0.0222;0.5111;0.4667;0.0013;0.0307;0.028,60;80;50,0.924
1.008;0.0385;0.5;0.4615;0.002;0.026;0.024,115;105;70,0.744
1.02;0.0125;0.5;0.4875;0.0007;0.0267;0.026,40;95;50,0.948
1.044;0.0112;0.4831;0.5056;0.0007;0.0287;0.03,50;105;45,0.984
1.056;0.0316;0.5368;0.4316;0.002;0.034;0.0273,55;105;50,0.972
1.032;0.0673;0.5192;0.4135;0.0047;0.036;0.0287,45;75;105,0.816
1.02;0.0123;0.5062;0.4815;0.0007;0.0273;0.026,50;105;40,1.056
1.08;0.0348;0.487;0.4783;0.0027;0.0373;0.0367,50;90;85,0.648
1.08;0.0114;0.5057;0.483;0.0013;0.0593;0.0567,80;80;45,0.756
